
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,0===18,0.25,0.9625,0.9625,0.9
LSVM,0===18,0.25,0.975,0.9875,0.9375
SVM,0===18,0.25,0.975,1.0,1.0
RF,0===18,0.25,0.9875,1.0,1.0
LogReg,0===7,0.25,1.0,1.0,1.0
LSVM,0===7,0.25,1.0,1.0,0.9375
SVM,0===7,0.25,1.0,1.0,1.0
RF,0===7,0.25,1.0,1.0,0.9375
LogReg,0===42,0.25,0.975,0.975,1.0
LSVM,0===42,0.25,1.0,1.0,1.0
SVM,0===42,0.25,0.975,1.0,1.0
RF,0===42,0.25,0.9875,1.0,1.0
LogReg,0===28,0.25,0.975,0.925,1.0
LSVM,0===28,0.25,0.925,0.975,1.0
SVM,0===28,0.25,0.95,0.975,1.0
RF,0===28,0.25,0.9625,1.0,1.0
LogReg,0===12,0.25,0.9875,1.0,0.9625
LSVM,0===12,0.25,0.9875,1.0,0.975
SVM,0===12,0.25,1.0,1.0,1.0
RF,0===12,0.25,1.0,1.0,1.0
LogReg,0===48,0.25,1.0,1.0,0.9625
LSVM,0===48,0.25,1.0,1.0,0.9875
SVM,0===48,0.25,1.0,1.0,0.9875
RF,0===48,0.25,1.0,1.0,1.0
LogReg,0===35,0.25,1.0,1.0,1.0
LSVM,0===35,0.25,1.0,1.0,1.0
SVM,0===35,0.25,1.0,1.0,1.0
RF,0===35,0.25,1.0,1.0,1.0
LogReg,0===20,0.25,0.9384615384615385,0.8,1.0
LSVM,0===20,0.25,0.9692307692307692,0.8153846153846154,1.0
SVM,0===20,0.25,0.9692307692307692,0.7846153846153846,1.0
RF,0===20,0.25,0.9846153846153847,0.9692307692307692,1.0
LogReg,0===37,0.25,0.6666666666666666,0.3333333333333333,1.0
LSVM,0===37,0.25,0.5,1.0,1.0
SVM,0===37,0.25,1.0,0.5,1.0
RF,0===37,0.25,1.0,1.0,1.0
LogReg,0===49,0.25,1.0,1.0,1.0
LSVM,0===49,0.25,1.0,1.0,1.0
SVM,0===49,0.25,1.0,1.0,1.0
RF,0===49,0.25,1.0,1.0,1.0
LogReg,1===46,0.25,0.9210526315789473,0.9605263157894737,1.0
LSVM,1===46,0.25,0.9078947368421053,0.9868421052631579,1.0
SVM,1===46,0.25,0.9078947368421053,0.9736842105263158,1.0
RF,1===46,0.25,0.9605263157894737,0.9868421052631579,1.0
LogReg,1===47,0.25,0.92,0.9066666666666666,1.0
LSVM,1===47,0.25,0.9333333333333333,0.9866666666666667,1.0
SVM,1===47,0.25,0.8933333333333333,1.0,1.0
RF,1===47,0.25,0.92,1.0,1.0
LogReg,1===5,0.25,0.9444444444444444,0.8888888888888888,1.0
LSVM,1===5,0.25,0.8703703703703703,0.9074074074074074,1.0
SVM,1===5,0.25,0.9259259259259259,0.9444444444444444,1.0
RF,1===5,0.25,0.9814814814814815,0.9814814814814815,1.0
LogReg,1===30,0.25,0.9125,0.975,0.925
LSVM,1===30,0.25,0.8875,0.9875,0.8625
SVM,1===30,0.25,0.8625,0.9875,1.0
RF,1===30,0.25,0.95,1.0,1.0
LogReg,1===26,0.25,1.0,1.0,1.0
LSVM,1===26,0.25,1.0,1.0,1.0
SVM,1===26,0.25,1.0,1.0,1.0
RF,1===26,0.25,1.0,1.0,1.0
LogReg,1===22,0.25,0.987012987012987,0.974025974025974,1.0
LSVM,1===22,0.25,0.974025974025974,0.961038961038961,1.0
SVM,1===22,0.25,0.987012987012987,0.974025974025974,1.0
RF,1===22,0.25,0.974025974025974,0.987012987012987,1.0
LogReg,1===6,0.25,0.7647058823529411,0.6764705882352942,1.0
LSVM,1===6,0.25,0.6470588235294118,0.7941176470588235,1.0
SVM,1===6,0.25,0.8529411764705882,0.7647058823529411,1.0
RF,1===6,0.25,1.0,0.8235294117647058,1.0
LogReg,1===14,0.25,0.9545454545454546,0.9318181818181818,1.0
LSVM,1===14,0.25,0.9318181818181818,0.9545454545454546,1.0
SVM,1===14,0.25,0.9090909090909091,0.9772727272727273,1.0
RF,1===14,0.25,1.0,0.9318181818181818,1.0
LogReg,1===19,0.25,0.9787234042553191,0.9361702127659575,1.0
LSVM,1===19,0.25,0.8936170212765957,0.9148936170212766,1.0
SVM,1===19,0.25,0.9787234042553191,0.9148936170212766,1.0
RF,1===19,0.25,0.9787234042553191,0.9787234042553191,1.0
LogReg,1===21,0.25,0.7857142857142857,0.8571428571428571,1.0
LSVM,1===21,0.25,0.7857142857142857,0.9107142857142857,1.0
SVM,1===21,0.25,0.9107142857142857,0.875,1.0
RF,1===21,0.25,0.9821428571428571,0.9464285714285714,1.0
LogReg,1===31,0.25,1.0,1.0,1.0
LSVM,1===31,0.25,1.0,1.0,1.0
SVM,1===31,0.25,1.0,1.0,1.0
RF,1===31,0.25,1.0,1.0,1.0
LogReg,2===47,0.25,0.9625,0.95,1.0
LSVM,2===47,0.25,0.9125,0.8875,1.0
SVM,2===47,0.25,0.9625,0.9375,1.0
RF,2===47,0.25,0.925,1.0,1.0
LogReg,2===22,0.25,0.8,1.0,1.0
LSVM,2===22,0.25,0.75,0.9,1.0
SVM,2===22,0.25,0.85,0.85,1.0
RF,2===22,0.25,1.0,0.95,1.0
LogReg,2===21,0.25,1.0,1.0,1.0
LSVM,2===21,0.25,1.0,1.0,1.0
SVM,2===21,0.25,1.0,1.0,1.0
RF,2===21,0.25,1.0,1.0,1.0
LogReg,2===27,0.25,1.0,1.0,1.0
LSVM,2===27,0.25,1.0,1.0,1.0
SVM,2===27,0.25,1.0,1.0,1.0
RF,2===27,0.25,1.0,1.0,1.0
LogReg,2===15,0.25,1.0,1.0,1.0
LSVM,2===15,0.25,1.0,1.0,1.0
SVM,2===15,0.25,1.0,1.0,1.0
RF,2===15,0.25,1.0,1.0,1.0
LogReg,2===24,0.25,1.0,1.0,0.9866666666666667
LSVM,2===24,0.25,1.0,1.0,1.0
SVM,2===24,0.25,1.0,1.0,1.0
RF,2===24,0.25,1.0,1.0,1.0
LogReg,2===3,0.25,0.9625,0.9875,1.0
LSVM,2===3,0.25,0.9875,0.95,1.0
SVM,2===3,0.25,0.975,0.9875,1.0
RF,2===3,0.25,1.0,1.0,1.0
LogReg,2===32,0.25,1.0,1.0,1.0
LSVM,2===32,0.25,1.0,1.0,1.0
SVM,2===32,0.25,1.0,1.0,1.0
RF,2===32,0.25,1.0,1.0,1.0
LogReg,3===27,0.25,0.9102564102564102,0.9615384615384616,1.0
LSVM,3===27,0.25,0.8974358974358975,0.9871794871794872,1.0
SVM,3===27,0.25,0.9487179487179487,0.9615384615384616,1.0
RF,3===27,0.25,0.9871794871794872,0.9871794871794872,1.0
LogReg,3===15,0.25,0.8888888888888888,0.8333333333333334,1.0
LSVM,3===15,0.25,0.9444444444444444,0.7777777777777778,1.0
SVM,3===15,0.25,0.9444444444444444,0.7777777777777778,1.0
RF,3===15,0.25,1.0,1.0,1.0
LogReg,3===24,0.25,1.0,1.0,1.0
LSVM,3===24,0.25,1.0,1.0,1.0
SVM,3===24,0.25,1.0,1.0,1.0
RF,3===24,0.25,1.0,1.0,1.0
LogReg,3===9,0.25,1.0,1.0,1.0
LSVM,3===9,0.25,1.0,1.0,1.0
SVM,3===9,0.25,1.0,1.0,1.0
RF,3===9,0.25,1.0,1.0,1.0
LogReg,3===4,0.25,0.9154929577464789,1.0,1.0
LSVM,3===4,0.25,0.9436619718309859,0.971830985915493,1.0
SVM,3===4,0.25,0.9154929577464789,0.9859154929577465,1.0
RF,3===4,0.25,0.9436619718309859,1.0,1.0
LogReg,3===32,0.25,1.0,1.0,1.0
LSVM,3===32,0.25,1.0,1.0,1.0
SVM,3===32,0.25,1.0,1.0,1.0
RF,3===32,0.25,1.0,1.0,1.0
LogReg,3===2,0.25,1.0,0.9493670886075949,1.0
LSVM,3===2,0.25,1.0,0.9746835443037974,1.0
SVM,3===2,0.25,1.0,0.9620253164556962,1.0
RF,3===2,0.25,1.0,0.9873417721518988,1.0
LogReg,3===23,0.25,1.0,1.0,1.0
LSVM,3===23,0.25,0.9791666666666666,1.0,1.0
SVM,3===23,0.25,0.9791666666666666,0.9583333333333334,1.0
RF,3===23,0.25,0.9791666666666666,0.9791666666666666,1.0
LogReg,4===24,0.25,0.96,1.0,1.0
LSVM,4===24,0.25,0.96,0.9866666666666667,1.0
SVM,4===24,0.25,0.9866666666666667,1.0,1.0
RF,4===24,0.25,0.9733333333333334,0.9866666666666667,1.0
LogReg,4===3,0.25,0.9285714285714286,0.9857142857142858,1.0
LSVM,4===3,0.25,0.9571428571428572,0.9571428571428572,1.0
SVM,4===3,0.25,0.9714285714285714,0.9714285714285714,1.0
RF,4===3,0.25,0.9714285714285714,1.0,1.0
LogReg,4===9,0.25,1.0,1.0,1.0
LSVM,4===9,0.25,1.0,1.0,1.0
SVM,4===9,0.25,1.0,1.0,1.0
RF,4===9,0.25,1.0,1.0,1.0
LogReg,4===32,0.25,1.0,1.0,1.0
LSVM,4===32,0.25,1.0,1.0,1.0
SVM,4===32,0.25,1.0,1.0,1.0
RF,4===32,0.25,1.0,1.0,1.0
LogReg,4===23,0.25,1.0,1.0,1.0
LSVM,4===23,0.25,1.0,1.0,1.0
SVM,4===23,0.25,1.0,1.0,1.0
RF,4===23,0.25,1.0,1.0,0.9875
LogReg,5===46,0.25,0.925,1.0,0.95
LSVM,5===46,0.25,0.9375,0.975,0.8875
SVM,5===46,0.25,0.95,0.9625,0.9875
RF,5===46,0.25,0.9875,1.0,0.9875
LogReg,5===47,0.25,0.9,0.9375,1.0
LSVM,5===47,0.25,0.8875,0.95,1.0
SVM,5===47,0.25,0.925,0.925,1.0
RF,5===47,0.25,1.0,1.0,1.0
LogReg,5===30,0.25,1.0,0.96,1.0
LSVM,5===30,0.25,1.0,0.98,1.0
SVM,5===30,0.25,1.0,1.0,1.0
RF,5===30,0.25,0.96,0.98,1.0
LogReg,5===26,0.25,1.0,1.0,1.0
LSVM,5===26,0.25,1.0,1.0,1.0
SVM,5===26,0.25,1.0,1.0,1.0
RF,5===26,0.25,1.0,1.0,1.0
LogReg,5===22,0.25,0.984375,0.96875,1.0
LSVM,5===22,0.25,0.984375,0.9375,1.0
SVM,5===22,0.25,0.984375,0.90625,1.0
RF,5===22,0.25,0.984375,0.96875,1.0
LogReg,5===6,0.25,0.9310344827586207,0.8620689655172413,1.0
LSVM,5===6,0.25,0.9137931034482759,0.9482758620689655,1.0
SVM,5===6,0.25,0.9482758620689655,0.9310344827586207,1.0
RF,5===6,0.25,0.9482758620689655,1.0,1.0
LogReg,5===19,0.25,0.9875,0.975,0.9875
LSVM,5===19,0.25,0.975,0.9625,1.0
SVM,5===19,0.25,0.9625,0.975,1.0
RF,5===19,0.25,1.0,1.0,1.0
LogReg,5===21,0.25,0.9375,0.78125,1.0
LSVM,5===21,0.25,0.96875,0.875,1.0
SVM,5===21,0.25,0.96875,0.90625,1.0
RF,5===21,0.25,1.0,1.0,1.0
LogReg,5===40,0.25,0.9375,0.95,0.9875
LSVM,5===40,0.25,0.9625,0.975,1.0
SVM,5===40,0.25,0.95,0.9625,1.0
RF,5===40,0.25,0.9875,1.0,1.0
LogReg,5===31,0.25,1.0,1.0,1.0
LSVM,5===31,0.25,1.0,1.0,1.0
SVM,5===31,0.25,1.0,1.0,1.0
RF,5===31,0.25,1.0,1.0,1.0
LogReg,5===45,0.25,0.9333333333333333,0.8533333333333334,1.0
LSVM,5===45,0.25,0.8533333333333334,0.92,1.0
SVM,5===45,0.25,0.9466666666666667,0.9066666666666666,1.0
RF,5===45,0.25,0.9866666666666667,0.9866666666666667,1.0
LogReg,5===44,0.25,0.9873417721518988,1.0,1.0
LSVM,5===44,0.25,0.9240506329113924,0.9746835443037974,1.0
SVM,5===44,0.25,0.9620253164556962,0.9746835443037974,1.0
