
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,0===18,0.25,0.0,1.0,1.0
LSVM,0===18,0.25,0.0,1.0,1.0
SVM,0===18,0.25,1.0,1.0,1.0
RF,0===18,0.25,1.0,1.0,1.0
LogReg,0===7,0.25,0.0,0.0,0.0
LSVM,0===7,0.25,0.0,1.0,1.0
SVM,0===7,0.25,1.0,1.0,1.0
RF,0===7,0.25,0.6666666666666666,1.0,1.0
LogReg,0===42,0.25,0.0,1.0,-1
LSVM,0===42,0.25,0.0,1.0,-1
SVM,0===42,0.25,0.952755905511811,1.0,-1
RF,0===42,0.25,0.968503937007874,1.0,-1
LogReg,0===28,0.25,0.0,1.0,0.0
LSVM,0===28,0.25,0.0,1.0,1.0
SVM,0===28,0.25,1.0,1.0,1.0
RF,0===28,0.25,1.0,1.0,1.0
LogReg,0===12,0.25,0.0,0.9826086956521739,0.3853211009174312
LSVM,0===12,0.25,0.0,1.0,1.0
SVM,0===12,0.25,1.0,1.0,1.0
RF,0===12,0.25,1.0,1.0,1.0
LogReg,0===48,0.25,-1,-1,0.20689655172413793
LSVM,0===48,0.25,-1,-1,0.0
SVM,0===48,0.25,-1,-1,1.0
RF,0===48,0.25,-1,-1,1.0
LogReg,0===35,0.25,-1,-1,-1
LSVM,0===35,0.25,-1,-1,-1
SVM,0===35,0.25,-1,-1,-1
RF,0===35,0.25,-1,-1,-1
LogReg,0===20,0.25,0.0,0.9666666666666667,-1
LSVM,0===20,0.25,0.0,0.9666666666666667,-1
SVM,0===20,0.25,1.0,0.9666666666666667,-1
RF,0===20,0.25,1.0,1.0,-1
LogReg,0===37,0.25,0.2857142857142857,0.2222222222222222,-1
LSVM,0===37,0.25,0.7142857142857143,1.0,-1
SVM,0===37,0.25,1.0,0.7777777777777778,-1
RF,0===37,0.25,1.0,1.0,-1
LogReg,0===49,0.25,-1,0.5714285714285714,-1
LSVM,0===49,0.25,-1,1.0,-1
SVM,0===49,0.25,-1,1.0,-1
RF,0===49,0.25,-1,1.0,-1
LogReg,1===46,0.25,0.0,0.0949367088607595,-1
LSVM,1===46,0.25,1.0,0.3860759493670886,-1
SVM,1===46,0.25,1.0,0.9810126582278481,-1
RF,1===46,0.25,1.0,1.0,-1
LogReg,1===47,0.25,0.021052631578947368,0.3380281690140845,-1
LSVM,1===47,0.25,0.021052631578947368,0.7605633802816901,-1
SVM,1===47,0.25,0.9263157894736842,0.9507042253521126,-1
RF,1===47,0.25,0.6842105263157895,1.0,-1
LogReg,1===5,0.25,0.0,0.0,-1
LSVM,1===5,0.25,0.0,0.0,-1
SVM,1===5,0.25,1.0,0.9401709401709402,-1
RF,1===5,0.25,1.0,1.0,-1
LogReg,1===30,0.25,0.0,0.9849624060150376,0.0
LSVM,1===30,0.25,1.0,1.0,0.0
SVM,1===30,0.25,1.0,1.0,1.0
RF,1===30,0.25,1.0,1.0,1.0
LogReg,1===26,0.25,0.0,1.0,-1
LSVM,1===26,0.25,0.0,1.0,-1
SVM,1===26,0.25,0.9624060150375939,1.0,-1
RF,1===26,0.25,0.9624060150375939,1.0,-1
LogReg,1===22,0.25,0.0,0.0,-1
LSVM,1===22,0.25,0.0,0.16393442622950818,-1
SVM,1===22,0.25,0.9918032786885246,0.9890710382513661,-1
RF,1===22,0.25,0.8032786885245902,1.0,-1
LogReg,1===6,0.25,0.0,0.696969696969697,-1
LSVM,1===6,0.25,0.0,0.8787878787878788,-1
SVM,1===6,0.25,1.0,0.9393939393939394,-1
RF,1===6,0.25,1.0,1.0,-1
LogReg,1===14,0.25,0.15384615384615385,0.6875,-1
LSVM,1===14,0.25,0.15384615384615385,0.75,-1
SVM,1===14,0.25,1.0,0.9166666666666666,-1
RF,1===14,0.25,1.0,1.0,-1
LogReg,1===19,0.25,0.4318181818181818,0.8571428571428571,-1
LSVM,1===19,0.25,0.4318181818181818,1.0,-1
SVM,1===19,0.25,1.0,1.0,-1
RF,1===19,0.25,1.0,1.0,-1
LogReg,1===21,0.25,0.0,1.0,-1
LSVM,1===21,0.25,1.0,1.0,-1
SVM,1===21,0.25,1.0,0.9848484848484849,-1
RF,1===21,0.25,1.0,1.0,-1
LogReg,1===31,0.25,-1,-1,-1
LSVM,1===31,0.25,-1,-1,-1
SVM,1===31,0.25,-1,-1,-1
RF,1===31,0.25,-1,-1,-1
LogReg,2===47,0.25,0.32142857142857145,0.8571428571428571,-1
LSVM,2===47,0.25,0.32142857142857145,0.9444444444444444,-1
SVM,2===47,0.25,0.7261904761904762,0.9920634920634921,-1
RF,2===47,0.25,0.8095238095238095,1.0,-1
LogReg,2===22,0.25,0.08695652173913043,1.0,-1
LSVM,2===22,0.25,0.9130434782608695,1.0,-1
SVM,2===22,0.25,1.0,1.0,-1
RF,2===22,0.25,1.0,1.0,-1
LogReg,2===21,0.25,-1,-1,0.5087719298245614
LSVM,2===21,0.25,-1,-1,0.0
SVM,2===21,0.25,-1,-1,1.0
RF,2===21,0.25,-1,-1,1.0
LogReg,2===27,0.25,-1,-1,-1
LSVM,2===27,0.25,-1,-1,-1
SVM,2===27,0.25,-1,-1,-1
RF,2===27,0.25,-1,-1,-1
LogReg,2===15,0.25,-1,-1,-1
LSVM,2===15,0.25,-1,-1,-1
SVM,2===15,0.25,-1,-1,-1
RF,2===15,0.25,-1,-1,-1
LogReg,2===24,0.25,-1,-1,0.6071428571428571
LSVM,2===24,0.25,-1,-1,0.21428571428571427
SVM,2===24,0.25,-1,-1,1.0
RF,2===24,0.25,-1,-1,1.0
LogReg,2===3,0.25,0.0,0.0,-1
LSVM,2===3,0.25,0.0,0.11428571428571428,-1
SVM,2===3,0.25,1.0,1.0,-1
RF,2===3,0.25,1.0,1.0,-1
LogReg,2===32,0.25,0.05263157894736842,0.5925925925925926,-1
LSVM,2===32,0.25,0.05263157894736842,1.0,-1
SVM,2===32,0.25,1.0,1.0,-1
RF,2===32,0.25,1.0,1.0,-1
LogReg,3===27,0.25,0.0,0.0,-1
LSVM,3===27,0.25,1.0,0.37572254335260113,-1
SVM,3===27,0.25,1.0,0.976878612716763,-1
RF,3===27,0.25,0.9304347826086956,1.0,-1
LogReg,3===15,0.25,0.0,0.18181818181818182,-1
LSVM,3===15,0.25,1.0,0.9090909090909091,-1
SVM,3===15,0.25,1.0,0.9772727272727273,-1
RF,3===15,0.25,1.0,1.0,-1
LogReg,3===24,0.25,-1,-1,-1
LSVM,3===24,0.25,-1,-1,-1
SVM,3===24,0.25,-1,-1,-1
RF,3===24,0.25,-1,-1,-1
LogReg,3===9,0.25,0.0,1.0,-1
LSVM,3===9,0.25,1.0,1.0,-1
SVM,3===9,0.25,1.0,1.0,-1
RF,3===9,0.25,0.8870967741935484,1.0,-1
LogReg,3===4,0.25,0.0,0.0,-1
LSVM,3===4,0.25,1.0,0.0,-1
SVM,3===4,0.25,0.941747572815534,1.0,-1
RF,3===4,0.25,0.9805825242718447,1.0,-1
LogReg,3===32,0.25,-1,-1,1.0
LSVM,3===32,0.25,-1,-1,0.0
SVM,3===32,0.25,-1,-1,1.0
RF,3===32,0.25,-1,-1,1.0
LogReg,3===2,0.25,0.41904761904761906,0.05732484076433121,-1
LSVM,3===2,0.25,1.0,0.445859872611465,-1
SVM,3===2,0.25,1.0,0.9171974522292994,-1
RF,3===2,0.25,1.0,1.0,-1
