
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,0===18,0.25,0.8928571428571429,0.9404761904761905,0.696078431372549
LSVM,0===18,0.25,0.9166666666666666,0.9642857142857143,0.7254901960784313
SVM,0===18,0.25,0.9761904761904762,0.9880952380952381,0.9803921568627451
RF,0===18,0.25,0.9761904761904762,0.9880952380952381,1.0
LogReg,0===7,0.25,1.0,1.0,0.9375
LSVM,0===7,0.25,1.0,1.0,0.9375
SVM,0===7,0.25,1.0,1.0,0.9375
RF,0===7,0.25,1.0,1.0,0.9375
LogReg,0===42,0.25,0.9629629629629629,0.9876543209876543,1.0
LSVM,0===42,0.25,0.9629629629629629,1.0,1.0
SVM,0===42,0.25,1.0,1.0,1.0
RF,0===42,0.25,1.0,1.0,1.0
LogReg,0===28,0.25,0.9047619047619048,0.9285714285714286,1.0
LSVM,0===28,0.25,0.9047619047619048,1.0,1.0
SVM,0===28,0.25,0.9880952380952381,1.0,1.0
RF,0===28,0.25,1.0,1.0,1.0
LogReg,0===12,0.25,0.8850574712643678,1.0,0.8705882352941177
LSVM,0===12,0.25,0.9080459770114943,1.0,0.8941176470588236
SVM,0===12,0.25,1.0,1.0,1.0
RF,0===12,0.25,1.0,1.0,1.0
LogReg,0===48,0.25,1.0,1.0,0.8314606741573034
LSVM,0===48,0.25,1.0,1.0,0.8764044943820225
SVM,0===48,0.25,1.0,1.0,1.0
RF,0===48,0.25,1.0,1.0,1.0
LogReg,0===35,0.25,1.0,1.0,1.0
LSVM,0===35,0.25,1.0,1.0,1.0
SVM,0===35,0.25,1.0,1.0,1.0
RF,0===35,0.25,1.0,1.0,1.0
LogReg,0===20,0.25,0.7532467532467533,0.7159090909090909,1.0
LSVM,0===20,0.25,0.7792207792207793,0.8636363636363636,1.0
SVM,0===20,0.25,1.0,0.8068181818181818,1.0
RF,0===20,0.25,0.961038961038961,0.9886363636363636,1.0
LogReg,0===37,0.25,0.5,0.42857142857142855,1.0
LSVM,0===37,0.25,0.8333333333333334,1.0,1.0
SVM,0===37,0.25,1.0,0.2857142857142857,1.0
RF,0===37,0.25,1.0,1.0,1.0
LogReg,0===49,0.25,1.0,0.8,1.0
LSVM,0===49,0.25,1.0,1.0,1.0
SVM,0===49,0.25,1.0,1.0,1.0
RF,0===49,0.25,1.0,1.0,1.0
LogReg,1===46,0.25,0.788235294117647,0.8470588235294118,1.0
LSVM,1===46,0.25,0.7764705882352941,0.9411764705882353,1.0
SVM,1===46,0.25,0.9411764705882353,0.9058823529411765,1.0
RF,1===46,0.25,0.9647058823529412,0.9882352941176471,1.0
LogReg,1===47,0.25,0.92,0.9620253164556962,1.0
LSVM,1===47,0.25,0.88,0.9367088607594937,1.0
SVM,1===47,0.25,0.9333333333333333,0.9620253164556962,1.0
RF,1===47,0.25,0.9733333333333334,0.9873417721518988,1.0
LogReg,1===5,0.25,0.8,0.9375,1.0
LSVM,1===5,0.25,0.7666666666666667,0.953125,1.0
SVM,1===5,0.25,0.9666666666666667,0.90625,1.0
RF,1===5,0.25,0.9833333333333333,1.0,1.0
LogReg,1===30,0.25,0.8470588235294118,0.9135802469135802,0.7127659574468085
LSVM,1===30,0.25,0.8588235294117647,0.9753086419753086,0.7978723404255319
SVM,1===30,0.25,0.9294117647058824,0.9753086419753086,1.0
RF,1===30,0.25,0.9647058823529412,1.0,1.0
LogReg,1===26,0.25,1.0,1.0,1.0
LSVM,1===26,0.25,1.0,1.0,1.0
SVM,1===26,0.25,1.0,1.0,1.0
RF,1===26,0.25,1.0,1.0,1.0
LogReg,1===22,0.25,0.7752808988764045,0.9775280898876404,1.0
LSVM,1===22,0.25,0.8314606741573034,0.9887640449438202,1.0
