
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,0===18,0.25,0.9605263157894737,0.9605263157894737,0.8793103448275862
LSVM,0===18,0.25,0.9473684210526315,1.0,0.896551724137931
SVM,0===18,0.25,0.9605263157894737,1.0,0.9482758620689655
RF,0===18,0.25,0.9736842105263158,1.0,1.0
LogReg,0===7,0.25,1.0,1.0,1.0
LSVM,0===7,0.25,1.0,1.0,1.0
SVM,0===7,0.25,1.0,1.0,1.0
RF,0===7,0.25,1.0,1.0,1.0
LogReg,0===42,0.25,0.9620253164556962,0.9620253164556962,1.0
LSVM,0===42,0.25,0.9620253164556962,1.0,1.0
SVM,0===42,0.25,0.9873417721518988,0.9493670886075949,1.0
RF,0===42,0.25,0.9873417721518988,1.0,1.0
LogReg,0===28,0.25,0.9473684210526315,0.9473684210526315,1.0
LSVM,0===28,0.25,0.9736842105263158,0.9473684210526315,1.0
SVM,0===28,0.25,0.9473684210526315,0.9342105263157895,1.0
RF,0===28,0.25,0.9736842105263158,1.0,1.0
LogReg,0===12,0.25,0.9726027397260274,1.0,0.9466666666666667
LSVM,0===12,0.25,0.9863013698630136,1.0,0.96
SVM,0===12,0.25,0.9863013698630136,1.0,1.0
RF,0===12,0.25,0.9863013698630136,1.0,0.9866666666666667
LogReg,0===48,0.25,1.0,1.0,0.9577464788732394
LSVM,0===48,0.25,1.0,1.0,0.9859154929577465
SVM,0===48,0.25,1.0,1.0,1.0
RF,0===48,0.25,1.0,1.0,1.0
LogReg,0===35,0.25,1.0,1.0,1.0
LSVM,0===35,0.25,1.0,1.0,1.0
SVM,0===35,0.25,1.0,1.0,1.0
RF,0===35,0.25,1.0,1.0,1.0
LogReg,0===20,0.25,0.9056603773584906,0.6444444444444445,1.0
LSVM,0===20,0.25,0.9433962264150944,0.7555555555555555,1.0
SVM,0===20,0.25,0.9433962264150944,0.6666666666666666,1.0
RF,0===20,0.25,0.9811320754716981,0.9333333333333333,1.0
LogReg,0===37,0.25,0.5,0.3333333333333333,1.0
LSVM,0===37,0.25,0.8333333333333334,0.6666666666666666,1.0
SVM,0===37,0.25,0.8333333333333334,0.5,1.0
RF,0===37,0.25,1.0,1.0,1.0
LogReg,0===49,0.25,1.0,1.0,1.0
LSVM,0===49,0.25,1.0,1.0,1.0
SVM,0===49,0.25,1.0,1.0,1.0
RF,0===49,0.25,1.0,1.0,1.0
LogReg,1===46,0.25,0.9104477611940298,0.9552238805970149,1.0
LSVM,1===46,0.25,0.9402985074626866,0.9701492537313433,1.0
SVM,1===46,0.25,0.9104477611940298,1.0,1.0
RF,1===46,0.25,0.9701492537313433,1.0,1.0
LogReg,1===47,0.25,0.92,0.9295774647887324,1.0
LSVM,1===47,0.25,0.92,1.0,1.0
SVM,1===47,0.25,0.9333333333333333,0.9577464788732394,1.0
RF,1===47,0.25,0.9466666666666667,0.9859154929577465,1.0
LogReg,1===5,0.25,0.8666666666666667,0.7857142857142857,1.0
LSVM,1===5,0.25,0.8888888888888888,0.8809523809523809,1.0
SVM,1===5,0.25,0.8888888888888888,0.8095238095238095,1.0
RF,1===5,0.25,0.9111111111111111,0.9761904761904762,1.0
LogReg,1===30,0.25,0.9210526315789473,0.8987341772151899,0.8636363636363636
LSVM,1===30,0.25,0.9078947368421053,0.9620253164556962,0.8484848484848485
SVM,1===30,0.25,0.881578947368421,0.9746835443037974,1.0
RF,1===30,0.25,1.0,1.0,0.9848484848484849
LogReg,1===26,0.25,1.0,1.0,1.0
LSVM,1===26,0.25,1.0,1.0,1.0
SVM,1===26,0.25,1.0,1.0,1.0
RF,1===26,0.25,1.0,1.0,1.0
LogReg,1===22,0.25,0.96875,0.9538461538461539,1.0
LSVM,1===22,0.25,0.96875,0.9692307692307692,1.0
SVM,1===22,0.25,0.96875,0.9538461538461539,1.0
RF,1===22,0.25,0.96875,0.9846153846153847,1.0
LogReg,1===6,0.25,0.6923076923076923,0.29411764705882354,1.0
LSVM,1===6,0.25,0.7307692307692307,0.5882352941176471,1.0
SVM,1===6,0.25,0.6538461538461539,0.5294117647058824,1.0
RF,1===6,0.25,0.9615384615384616,0.7647058823529411,1.0
LogReg,1===14,0.25,0.9230769230769231,0.9032258064516129,1.0
LSVM,1===14,0.25,0.9230769230769231,0.967741935483871,1.0
SVM,1===14,0.25,0.9230769230769231,0.8709677419354839,1.0
